group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
66,3,0.08333333333333333,1,1,1,1,1
1500,3,0.08333333333333333,1,1,1,1,1
71,3,0.08333333333333333,1,1,1,1,1
1504,3,0.08333333333333333,1,1,1,1,1
1477,3,0.08333333333333333,1,1,1,1,1
1547,3,0.08333333333333333,1,1,1,1,1
1544,3,0.25,1,1,1,1,1
771,3,0.125,1,1,1,1,1
789,3,0.08333333333333333,1,1,1,1,1
1550,3,0.125,1,1,1,1,1
818,3,0.08333333333333333,1,1,1,1,1
856,3,0.08333333333333333,1,1,1,1,1
901,3,0.08333333333333333,1,1,1,1,1
776,3,0.08333333333333333,1,1,1,1,1
399,3,0.4583333333333333,2,1,1,1,1
829,3,0.08333333333333333,1,1,1,1,1
942,3,0.08333333333333333,1,1,1,1,1
845,3,0.08333333333333333,1,1,1,1,1
837,3,0.08333333333333333,1,1,1,1,1
850,3,0.08333333333333333,1,1,1,1,1
821,3,0.125,1,1,1,1,1
289,3,0.08333333333333333,1,1,1,1,1
341,3,0.125,1,1,1,1,1
1515,3,0.08333333333333333,1,1,1,1,1
929,3,0.08333333333333333,1,1,1,1,1
903,3,0.08333333333333333,1,1,1,1,1
365,3,0.08333333333333333,1,1,1,1,1
368,3,0.08333333333333333,1,1,1,1,1
179,3,0.08333333333333333,1,1,1,1,1
1456,3,0.125,1,1,1,1,1
1451,3,0.08333333333333333,1,1,1,1,1
1400,3,0.08333333333333333,1,1,1,1,1
1021,3,0.08333333333333333,1,1,1,1,1
1413,3,0.08333333333333333,1,1,1,1,1
290,3,0.08333333333333333,1,1,1,1,1
995,3,0.08333333333333333,1,1,1,1,1
1588,3,0.08333333333333333,1,1,1,1,1
659,3,0.08333333333333333,1,1,1,1,1
1629,3,0.08333333333333333,1,1,1,1,1
1540,3,0.08333333333333333,1,1,1,1,1
1604,3,0.08333333333333333,1,1,1,1,1
741,3,0.08333333333333333,1,1,1,1,1
413,3,0.125,1,1,1,1,1
642,3,0.25,1,1,1,1,1
631,3,0.08333333333333333,1,1,1,1,1
641,3,0.08333333333333333,1,1,1,1,1
784,3,0.08333333333333333,1,1,1,1,1
687,3,0.08333333333333333,1,1,1,1,1
514,3,0.08333333333333333,1,1,1,1,1
129,3,0.08333333333333333,1,1,1,1,1
1620,3,0.08333333333333333,1,1,1,1,1
61,3,0.08333333333333333,1,1,1,1,1
538,3,1.0416666666666667,2,2,1,1,1
432,3,0.08333333333333333,1,1,1,1,1
1622,3,0.125,1,1,1,1,1
561,3,0.08333333333333333,1,1,1,1,1
29,3,1.125,2,2,2,1,1
1624,3,0.08333333333333333,1,1,1,1,1
1755,3,0.08333333333333333,1,1,1,1,1
11,3,0.4583333333333333,2,1,1,1,1
1726,3,0.08333333333333333,1,1,1,1,1
1770,3,0.08333333333333333,1,1,1,1,1
1777,3,0.08333333333333333,1,1,1,1,1
1506,2,0.041666666666666664,1,1,1,1,1
